主体ID,销售组织,客戶編碼,客户,客名,销售部门,销售业务员,商品名称,销售数量,数量,主计量,合计含税金额,线索客户编码,线索客户名称,ERP订单号,ERP订单状态,要求送货日期,创建时间,商品編碼,小類編碼,小類,客戶屬性,訂單總金額
2591386557140172809,香港事业部,NFT00.000357,三明有限公司,三明,分销业务冻品水产部销售部,张淑燕,金鷹面精肉|25KG,8,200,千克,6479.6,,,14802336,已登记,2026-07-25 00:00:00,2026-07-24 15:11:44,1300109002,1300109,面精肉,批發-飛機,6479.6
2591351630489190400,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (300克+/塊),6,90,千克,1330.2,,,14802572,已登记,2026-07-25 00:00:00,2026-07-24 14:03:59,1300607015,1300607,帶皮腿扒,批發-飛機,1330.2
2591350075711029256,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (300克+/塊),1,15,千克,221.7,,,14802571,已登记,2026-07-25 00:00:00,2026-07-24 14:00:58,1300607015,1300607,帶皮腿扒,批發-飛機,221.7
2591287429294981121,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧欣城帶皮腿扒|15KG (250-300/塊),1,15,千克,221.7,,,14800553,已登记,2026-07-25 00:00:00,2026-07-24 11:59:24,1300607016,1300607,帶皮腿扒,批發-飛機,221.7
2591285831567147016,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,華英全淨膛鴨|11.2KG (1.4KG/只),1,11.2,千克,117.6,,,14800556,已登记,2026-07-25 00:00:00,2026-07-24 11:56:18,1300901002,1300901,整鴨,批發-飛機,117.6
2591284989753556998,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,377.1,,,14802122,已登记,2026-07-27 00:00:00,2026-07-24 11:54:39,1300603041,1300603,帶骨全腿,凍肉店,377.1
2591284405638004739,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,至尊梅肉|25KG,1,25,千克,1543.72,,,14800492,已登记,2026-07-27 00:00:00,2026-07-24 11:53:33,1300101043,1300101,一號肉,凍肉店,1543.72
2591284405638004739,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,1543.72,,,14800492,已登记,2026-07-27 00:00:00,2026-07-24 11:53:33,1300607015,1300607,帶皮腿扒,凍肉店,0
2591282069198864391,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,377.1,,,14800480,已登记,2026-07-25 00:00:00,2026-07-24 11:49:00,1300603041,1300603,帶骨全腿,凍肉店,377.1
2591281416363835395,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,金鷹面精肉|25KG,1,25,千克,2370.37,,,14802111,已登记,2026-07-25 00:00:00,2026-07-24 11:47:44,1300109002,1300109,面精肉,凍肉店,2370.37
2591281416363835395,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,至尊梅肉|25KG,1,25,千克,2370.37,,,14802111,已登记,2026-07-25 00:00:00,2026-07-24 11:47:44,1300101043,1300101,一號肉,凍肉店,0
2591281416363835395,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,2370.37,,,14802111,已登记,2026-07-25 00:00:00,2026-07-24 11:47:44,1300607015,1300607,帶皮腿扒,凍肉店,0
2591279028362018822,香港事业部,15MYKD.KSH05,佳城興業有限公司火炭,佳城興業,分销业务冻品水产部销售部,岑美玉,河南去皮上腿肉|12KG,5,60,千克,942,,,14800479,已登记,2026-07-25 00:00:00,2026-07-24 11:43:06,1300609001,1300609,去皮上腿肉,批發-加工,942
2591270507146903560,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (250克+/塊),1,15,千克,221.7,,,14800494,已登记,2026-07-25 00:00:00,2026-07-24 11:26:35,1300607014,1300607,帶皮腿扒,批發-飛機,221.7
2591251523368386567,香港事业部,NFT00.000337,新城發食品有限公司,新城發,分销业务冻品水产部销售部,许至邦,金鷹面精肉|25KG,4,100,千克,3273.2,,,14800410,已登记,2026-07-25 00:00:00,2026-07-24 10:49:46,1300109002,1300109,面精肉,批發-加工,3273.2
2590596910246002689,香港事业部,15MYKD.KSH05,佳城興業有限公司火炭,佳城興業,分销业务冻品水产部销售部,岑美玉,河南去皮上腿肉|12KG,1,12,千克,188.4,,,14801516,已登记,2026-07-24 00:00:00,2026-07-23 13:39:37,1300609001,1300609,去皮上腿肉,批發-加工,188.4
2590570891334123520,香港事业部,NFT00.000357,三明有限公司,三明,分销业务冻品水产部销售部,张淑燕,精品面精肉|25KG,2,50,千克,1623.6,,,14800146,已登记,2026-07-24 00:00:00,2026-07-23 12:49:08,1300109012,1300109,面精肉,批發-飛機,1623.6
2590559930554515463,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,377.1,,,14800039,已登记,2026-07-24 00:00:00,2026-07-23 12:27:52,1300603041,1300603,帶骨全腿,凍肉店,377.1
2590559355051966466,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,山東帶骨鴨腿|10KG（220-240G/只）,1,10,千克,921.91,,,14801224,已登记,2026-07-24 00:00:00,2026-07-23 12:26:46,1300902011,1300902,帶骨整腿,凍肉店,921.91
2590559355051966466,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,華英全淨膛鴨|12.8KG (1.6KG/只),1,12.8,千克,921.91,,,14801224,已登记,2026-07-24 00:00:00,2026-07-23 12:26:46,1300901004,1300901,整鴨,凍肉店,0
2590559355051966466,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,921.91,,,14801224,已登记,2026-07-24 00:00:00,2026-07-23 12:26:46,1300607015,1300607,帶皮腿扒,凍肉店,0
2590534736276357122,香港事业部,NFT00.000385,誠信凍肉有限公司,誠信,分销业务冻品水产部销售部,李华兴,金鷹面精肉|25KG,3,75,千克,2454.9,,,14801157,已登记,2026-07-23 00:00:00,2026-07-23 11:38:59,1300109002,1300109,面精肉,凍肉店,2454.9
2590532837900812289,香港事业部,NFT00.002547,先進食品國際有限公司,先進,分销业务冻品水产部销售部,岑美玉,高峰法式羊排 8 支骨|20KG,10,200,千克,18624,,,14800000,已登记,2026-07-24 00:00:00,2026-07-23 11:35:18,1300501020,1300501,羊排,批發-加工,18624
2590515228557967369,香港事业部,NFT00.000759,天恆食品有限公司,天恆,分销业务冻品水产部销售部,岑美玉,高峰法式羊排 8 支骨|20KG,1,20,千克,1900.8,,,14799990,已登记,2026-07-24 00:00:00,2026-07-23 11:01:09,1300501020,1300501,羊排,批發-飛機,1900.8
2590507995809972225,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧欣城帶骨雞全腿 280-300G|15KG,5,75,千克,7593.75,,,14799988,已登记,2026-07-23 00:00:00,2026-07-23 10:47:07,1300603040,1300603,帶骨全腿,批發-加工,7593.75
2590507995809972225,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧銘川帶皮腿扒|15KG (300克+/塊),30,450,千克,7593.75,,,14799988,已登记,2026-07-23 00:00:00,2026-07-23 10:47:07,1300607015,1300607,帶皮腿扒,批發-加工,0
2590496356471668738,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,金鷹面精肉|25KG,1,25,千克,923.65,,,14801044,已登记,2026-07-23 00:00:00,2026-07-23 10:24:31,1300109002,1300109,面精肉,凍肉店,923.65
2590496356471668738,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城雞翅尖IQF|10KG,1,10,千克,923.65,,,14801044,已登记,2026-07-23 00:00:00,2026-07-23 10:24:31,1300627002,1300627,翅尖,凍肉店,0
2590495334269452292,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,128,,,14799944,已登记,2026-07-23 00:00:00,2026-07-23 10:22:33,1300624103,1300624,琵琶腿,凍肉店,128
2590471351172071431,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,河南去皮上腿肉|12KG,1,12,千克,188.4,,,14799898,已登记,2026-07-23 00:00:00,2026-07-23 09:36:01,1300609001,1300609,去皮上腿肉,批發-飛機,188.4
2590446088151367685,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,高峰法式羊排 12 支骨|20KG,1,20,千克,1623.6,,,14799879,已登记,2026-07-23 00:00:00,2026-07-23 08:47:02,1300501019,1300501,羊排,批發-飛機,1623.6
2589933973453930497,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,665.1,,,14799792,已登记,2026-07-23 00:00:00,2026-07-22 16:13:22,1300607015,1300607,帶皮腿扒,批發-飛機,665.1
2589891607873454088,香港事业部,NFT00.002547,先進食品國際有限公司,先進,分销业务冻品水产部销售部,岑美玉,高峰法式羊排 8 支骨|20KG,4,80,千克,7449.6,,,14800747,已登记,2026-07-23 00:00:00,2026-07-22 14:51:09,1300501020,1300501,羊排,批發-加工,7449.6
2589820156797517825,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,華英帶骨鴨腿|10KG (200-220G/只),1,10,千克,130,,,14800668,已登记,2026-07-23 00:00:00,2026-07-22 12:32:31,1300902002,1300902,帶骨整腿,批發-飛機,130
2589819143185235973,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (300克+/塊),5,75,千克,1108.5,,,14799653,已登记,2026-07-23 00:00:00,2026-07-22 12:30:33,1300607015,1300607,帶皮腿扒,批發-飛機,1108.5
2589795933181968386,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,山東煙熏鴨胸肉|10KG (200-220G/塊)日文包裝,1,10,千克,930.42,,,14800625,已登记,2026-07-23 00:00:00,2026-07-22 11:45:32,1300904016,1300904,煙熏鴨胸,凍肉店,930.42
2589795933181968386,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,930.42,,,14800625,已登记,2026-07-23 00:00:00,2026-07-22 11:45:32,1300607015,1300607,帶皮腿扒,凍肉店,0
2589770189171064832,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,128,,,14799578,已关闭,2026-07-22 00:00:00,2026-07-22 10:55:34,1300624103,1300624,琵琶腿,凍肉店,128
2589768385261731840,香港事业部,NFT00.000385,誠信凍肉有限公司,誠信,分销业务冻品水产部销售部,李华兴,金鷹面精肉|25KG,3,75,千克,2454.9,,,14799580,已登记,2026-07-22 00:00:00,2026-07-22 10:52:05,1300109002,1300109,面精肉,凍肉店,2454.9
2589760997941051393,香港事业部,NFT00.000091,恆昌凍肉食品有限公司,恆昌,分销业务冻品水产部销售部,谭小君,高峰網裝羊肩卷肉| 18KG,4,72,千克,5726.88,,,14800561,已登记,2026-07-22 00:00:00,2026-07-22 10:37:44,1300503009,1300503,羊肩卷肉,批發-加工,5726.88
2589723073379827713,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,河南去皮上腿肉|12KG,8,96,千克,1728.9,,,14799482,已登记,2026-07-22 00:00:00,2026-07-22 09:24:10,1300609001,1300609,去皮上腿肉,批發-飛機,1728.9
2589723073379827713,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (250克+/塊),1,15,千克,1728.9,,,14799482,已登记,2026-07-22 00:00:00,2026-07-22 09:24:10,1300607014,1300607,帶皮腿扒,批發-飛機,0
2589675802969767939,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧銘川帶皮腿扒|15KG (300克+/塊),7,105,千克,1551.9,,,14798338,已登记,2026-07-22 00:00:00,2026-07-22 07:52:28,1300607015,1300607,帶皮腿扒,批發-加工,1551.9
2589072574813044743,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧欣城帶骨雞全腿 240-260G|15KG,2,30,千克,436.5,,,14798142,已登记,2026-07-22 00:00:00,2026-07-21 12:22:01,1300603038,1300603,帶骨全腿,批發-飛機,436.5
2589045464979472385,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,至尊梅肉|25KG,1,25,千克,1543.72,,,14798096,已登记,2026-07-22 00:00:00,2026-07-21 11:29:25,1300101043,1300101,一號肉,凍肉店,1543.72
2589045464979472385,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,1543.72,,,14798096,已登记,2026-07-22 00:00:00,2026-07-21 11:29:25,1300607015,1300607,帶皮腿扒,凍肉店,0
2589044614552879112,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,377.1,,,14798974,已登记,2026-07-22 00:00:00,2026-07-21 11:27:47,1300603041,1300603,帶骨全腿,凍肉店,377.1
2589038094815592448,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,至尊梅肉|25KG,1,25,千克,1920.82,,,14798925,已关闭,2026-07-22 00:00:00,2026-07-21 11:15:08,1300101043,1300101,一號肉,凍肉店,1920.82
2589038094815592448,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,1920.82,,,14798925,已关闭,2026-07-22 00:00:00,2026-07-21 11:15:08,1300603041,1300603,帶骨全腿,凍肉店,0
2589038094815592448,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),3,45,千克,1920.82,,,14798925,已关闭,2026-07-22 00:00:00,2026-07-21 11:15:08,1300607015,1300607,帶皮腿扒,凍肉店,0
2588972106938056709,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,華英全淨膛鴨|14.4KG (1.8KG/只),2,28.8,千克,302.4,,,14798788,已登记,2026-07-21 00:00:00,2026-07-21 09:07:05,1300901006,1300901,整鴨,批發-飛機,302.4
2588465824783138817,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,478,,,14797893,已登记,2026-07-21 00:00:00,2026-07-20 16:44:47,1300624103,1300624,琵琶腿,凍肉店,478
2588465824783138817,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城雞翅尖IQF|10KG,1,10,千克,478,,,14797893,已登记,2026-07-21 00:00:00,2026-07-20 16:44:47,1300627002,1300627,翅尖,凍肉店,0
2588465824783138817,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,山東帶骨鴨腿|10KG（220-240G/只）,1,10,千克,478,,,14797893,已登记,2026-07-21 00:00:00,2026-07-20 16:44:47,1300902011,1300902,帶骨整腿,凍肉店,0
2588465824783138817,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城翅根|10KG(60克以上/只),1,10,千克,478,,,14797893,已登记,2026-07-21 00:00:00,2026-07-20 16:44:47,1300626003,1300626,翅根,凍肉店,0
2588458514748801028,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,金鷹梅肉|25KG,4,100,千克,2744,,,14797892,已登记,2026-07-21 00:00:00,2026-07-20 16:30:36,1300101018,1300101,一號肉,批發-飛機,2744
2588440639071846409,香港事业部,NFT00.000759,天恆食品有限公司,天恆,分销业务冻品水产部销售部,岑美玉,伊美佳12支骨法式羊排|20KG,2,40,千克,3096.8,,,14798644,已登记,2026-07-21 00:00:00,2026-07-20 15:55:54,1300501029,1300501,羊排,批發-飛機,3096.8
2588412696014618633,香港事业部,NFT00.000759,天恆食品有限公司,天恆,分销业务冻品水产部销售部,岑美玉,高峰法式羊排 7 支骨|20KG,1,20,千克,2178,,,14797709,已登记,2026-07-21 00:00:00,2026-07-20 15:01:42,1300501025,1300501,羊排,批發-飛機,2178
2588391049402515463,香港事业部,NFT00.003074,信隆(亞洲)有限公司,信隆,分销业务冻品水产部销售部,谭小君,華英煙熏鴨胸肉|10KG (240-260G/塊)日文包裝,15,150,千克,5383.5,,,14797680,已登记,2026-07-21 00:00:00,2026-07-20 14:19:41,1300904024,1300904,煙熏鴨胸,批發-加工,5383.5
2588391049402515463,香港事业部,NFT00.003074,信隆(亞洲)有限公司,信隆,分销业务冻品水产部销售部,谭小君,遼寧欣城帶骨雞全腿 240-260G|15KG,10,150,千克,5383.5,,,14797680,已登记,2026-07-21 00:00:00,2026-07-20 14:19:41,1300603038,1300603,帶骨全腿,批發-加工,0
2588354525000630277,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,中國紅布腸|20KG,2,40,千克,970.2,,,14797545,已登记,2026-07-21 00:00:00,2026-07-20 13:08:50,1300114011,1300114,熟食,批發-飛機,970.2
2588269828245553161,香港事业部,NFT00.000759,天恆食品有限公司,天恆,分销业务冻品水产部销售部,岑美玉,高峰柱裝羊卷肉|20KG,3,60,千克,3528,,,14797421,已登记,2026-07-20 00:00:00,2026-07-20 10:24:30,1300511002,1300511,羊卷肉,批發-飛機,3528
2588256797291708421,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,128,,,14796327,已登记,2026-07-20 00:00:00,2026-07-20 09:59:12,1300624103,1300624,琵琶腿,凍肉店,128
2588253747864928264,香港事业部,NFT00.003177,翎凰凍肉有限公司,翎凰,分销业务冻品水产部销售部,凌靖翔,至尊梅肉|25KG,20,500,千克,19647.35,,,14797265,已登记,2026-07-21 00:00:00,2026-07-20 09:53:18,1300101043,1300101,一號肉,批發-加工,19647.35
2588253747864928264,香港事业部,NFT00.003177,翎凰凍肉有限公司,翎凰,分销业务冻品水产部销售部,凌靖翔,金鷹面精肉|25KG,3,75,千克,19647.35,,,14797265,已登记,2026-07-21 00:00:00,2026-07-20 09:53:18,1300109002,1300109,面精肉,批發-加工,0
2588227608717033474,香港事业部,NFT00.000185,萬駿貿易公司,萬駿,分销业务冻品水产部销售部,岑美玉,至尊梅肉|25KG,10,250,千克,8875,,,14796239,已登记,2026-07-20 00:00:00,2026-07-20 09:02:35,1300101043,1300101,一號肉,批發-加工,8875
2586807400471199744,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧欣城帶骨雞全腿 280-300G|15KG,1,15,千克,1962.15,,,14796981,已登记,2026-07-20 00:00:00,2026-07-18 11:07:01,1300603040,1300603,帶骨全腿,批發-飛機,1962.15
2586807400471199744,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,遼寧銘川帶皮腿扒|15KG (250克+/塊),8,120,千克,1962.15,,,14796981,已登记,2026-07-20 00:00:00,2026-07-18 11:07:01,1300607014,1300607,帶皮腿扒,批發-飛機,0
2586800004514447366,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,金鷹面精肉|25KG,5,125,千克,4091.5,,,14796079,已登记,2026-07-20 00:00:00,2026-07-18 10:52:40,1300109002,1300109,面精肉,批發-飛機,4091.5
2586783279934865417,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,128,,,14796067,已登记,2026-07-18 00:00:00,2026-07-18 10:20:13,1300624103,1300624,琵琶腿,凍肉店,128
2586779474593841159,香港事业部,NFT00.000337,新城發食品有限公司,新城發,分销业务冻品水产部销售部,许至邦,金鷹面精肉|25KG,4,100,千克,3273.2,,,14796066,已登记,2026-07-20 00:00:00,2026-07-18 10:12:49,1300109002,1300109,面精肉,批發-加工,3273.2
2586778452368556034,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,山東鴨胸肉|10KG(200-220克/塊),1,10,千克,132,,,14796068,已关闭,2026-07-18 00:00:00,2026-07-18 10:10:52,1300903005,1300903,生鴨胸,批發-飛機,132
2586236015178940424,香港事业部,NFT00.000357,三明有限公司,三明,分销业务冻品水产部销售部,张淑燕,金鷹梅肉|25KG,10,250,千克,6790,,,14796814,已登记,2026-07-18 00:00:00,2026-07-17 16:38:21,1300101018,1300101,一號肉,批發-飛機,6790
2586171985806491649,香港事业部,NFT00.002474,明記冷凍食品有限公司,明記冷凍,分销业务冻品水产部销售部,岑美玉,至尊梅肉|25KG,6,150,千克,5410.47,,,14796679,已登记,2026-07-20 00:00:00,2026-07-17 14:34:08,1300101043,1300101,一號肉,批發-加工,5410.47
2586171985806491649,香港事业部,NFT00.002474,明記冷凍食品有限公司,明記冷凍,分销业务冻品水产部销售部,岑美玉,華王樂雞肉腸｜10.88KG(340.2g*32),1,32,包,5410.47,,,14796679,已登记,2026-07-20 00:00:00,2026-07-17 14:34:08,1310501001,1310501,腸類.雞肉腸,批發-加工,0
2586128950257254404,香港事业部,NFT00.000229,駿利貿易公司,駿利,分销业务冻品水产部销售部,张淑燕,遼寧銘川帶皮腿扒|15KG (300克+/塊),1,15,千克,221.7,,,14796597,已登记,2026-07-18 00:00:00,2026-07-17 13:10:38,1300607015,1300607,帶皮腿扒,批發-飛機,221.7
2586128220089745415,香港事业部,NFT00.000229,駿利貿易公司,駿利,分销业务冻品水产部销售部,张淑燕,中國紅布腸|20KG,1,20,千克,490,,,14796598,已登记,2026-07-18 00:00:00,2026-07-17 13:09:13,1300114011,1300114,熟食,批發-飛機,490
2586091618378448898,香港事业部,NFT00.000357,三明有限公司,三明,分销业务冻品水产部销售部,张淑燕,金鷹面精肉|25KG,8,200,千克,6479.6,,,14795522,已登记,2026-07-18 00:00:00,2026-07-17 11:58:12,1300109002,1300109,面精肉,批發-飛機,6479.6
2586086404311220225,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧銘川帶皮腿扒|15KG (300克+/塊),10,150,千克,2217,,,14795519,已登记,2026-07-17 00:00:00,2026-07-17 11:48:05,1300607015,1300607,帶皮腿扒,批發-加工,2217
2586079686982369289,香港事业部,NFT00.000091,恆昌凍肉食品有限公司,恆昌,分销业务冻品水产部销售部,谭小君,高峰網裝羊肩卷肉| 18KG,4,72,千克,5726.88,,,14795699,已登记,2026-07-17 00:00:00,2026-07-17 11:35:03,1300503009,1300503,羊肩卷肉,批發-加工,5726.88
2586076448577028103,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,至尊梅肉|25KG,1,25,千克,1920.82,,,14795691,已登记,2026-07-20 00:00:00,2026-07-17 11:28:46,1300101043,1300101,一號肉,凍肉店,1920.82
2586076448577028103,香港事业部,NFT00.000774,新昌,新昌,分销业务冻品水产部,张淑燕,遼寧欣城帶骨雞全腿 300-320G|15KG,2,30,千克,1920.82,,,14795691,已登记,2026-07-20 00:00:00,2026-07-17 11:28:46,1300603041,1300603,帶骨全腿,凍肉店,0
